Ws1_avg,Ws1_min,Ws1_max,Wa_avg,Ba_avg,Ot_avg,Month,Date_time
6.1500001,4.3699999,8.7600002,214.7,-0.99000001,5.5500002,1,2016-01-01 00:00:00+00:00
5.7600002,3.9300001,7.6199999,211.67999,-0.99000001,5.4699998,1,2016-01-01 00:10:00+00:00
5.6999998,3.8699999,7.6199999,213.13,-0.99000001,5.46,1,2016-01-01 00:20:00+00:00
6.0599999,4.1300001,8.79,213.03999,-0.99000001,5.6300001,1,2016-01-01 00:30:00+00:00
5.8200002,4.4099998,7.6199999,205.71001,-0.99000001,5.6100001,1,2016-01-01 00:40:00+00:00
6.2800002,4.9200001,7.73,206.42999,-0.99000001,5.6599998,1,2016-01-01 00:50:00+00:00
6.3400002,4.9099998,7.8299999,212.55,-0.99000001,5.8099999,1,2016-01-01 01:00:00+00:00
6.0700002,4.7800002,7.8600001,209.09,-0.99000001,5.8099999,1,2016-01-01 01:10:00+00:00
6.0999999,4.7800002,7.48,208.89,-0.99000001,5.8099999,1,2016-01-01 01:20:00+00:00
5.8299999,4.0700002,7.1700001,205.72,-0.99000001,5.8000002,1,2016-01-01 01:30:00+00:00
5.23,4.27,7.0100002,202.97,-0.99000001,5.71,1,2016-01-01 01:40:00+00:00
5.1100001,3.8099999,6.4499998,208.8,-0.99000001,5.9000001,1,2016-01-01 01:50:00+00:00
5.1300001,3.95,6.6199999,209.07001,-0.99000001,6.0999999,1,2016-01-01 02:00:00+00:00
5.1700001,4.0599999,6.3200002,205.11,-0.99000001,6.0100002,1,2016-01-01 02:10:00+00:00
4.9899998,3.77,6.1100001,204.92,-0.99000001,5.9000001,1,2016-01-01 02:20:00+00:00
5.4200001,4.27,6.7800002,203.63,-0.99000001,5.8400002,1,2016-01-01 02:30:00+00:00
5.7199998,4.2399998,7.02,202.52,-0.99000001,5.8000002,1,2016-01-01 02:40:00+00:00
5.4699998,4.46,6.6199999,199.37,-0.99000001,5.8000002,1,2016-01-01 02:50:00+00:00
5.0599999,3.4400001,6.48,173.88,-0.94,5.7600002,1,2016-01-01 03:00:00+00:00
4.71,3.5599999,6.1199999,192.07001,-0.99000001,5.8099999,1,2016-01-01 03:10:00+00:00
4.9299998,3.72,6.4299998,195.07001,-0.99000001,5.9299998,1,2016-01-01 03:20:00+00:00
5.0999999,3.8299999,6.5999999,199.27,-0.99000001,6.0999999,1,2016-01-01 03:30:00+00:00
4.8699999,3.78,6.1199999,197.3,-0.99000001,6.1900001,1,2016-01-01 03:40:00+00:00
5.0100002,3.8199999,7.1500001,195.99001,-0.99000001,6.1999998,1,2016-01-01 03:50:00+00:00
5.2199998,4.21,6.7800002,198.06,-0.99000001,6.3899999,1,2016-01-01 04:00:00+00:00
5.5599999,4.3600001,7.2800002,200.49001,-0.99000001,6.4899998,1,2016-01-01 04:10:00+00:00
5.5799999,4.25,6.98,196.50999,-0.99000001,6.4200001,1,2016-01-01 04:20:00+00:00
5.1500001,3.8099999,6.71,190.81,-0.99000001,6.1700001,1,2016-01-01 04:30:00+00:00
4.6700001,3.6300001,6.23,191.14999,-0.99000001,6.1199999,1,2016-01-01 04:40:00+00:00
4.7399998,3.6700001,6.2399998,195.67,-0.99000001,6.23,1,2016-01-01 04:50:00+00:00
5.3699999,3.5899999,6.6999998,202.08,-0.99000001,6.4000001,1,2016-01-01 05:00:00+00:00
